index | botleft botright c1 c1Env  c2 c2Env d1 d1L d2 
1 | -0.00552796 -0.00530345 0.110136 -0.0398104 -0.0382275 -0.00390164 -0.00452154 -0.00971827 -0.00314409 
2 | -0.00573543 -0.00801473 0.147864 -0.102507 -0.0088924 -0.0026261 -0.00431113 -0.00895077 -0.00684666 
3 | -0.00570467 -0.00784494 0.148307 -0.102448 -0.00805098 -0.00197487 -0.0122442 -0.00837327 -0.00168257 
4 | -0.00344103 -0.00340949 0.216663 -0.0982602 -0.0946586 -0.00573411 -0.00465918 -0.0060059 -0.000482627 
5 | -0.00615421 -0.0064599 0.0994744 -0.0405955 -0.0229706 -0.00318158 -0.00535785 -0.0104203 -0.00434338 
6 | -0.00437547 -0.00460744 0.163897 -0.100599 -0.035466 -0.00487647 -0.00303448 -0.00744682 -0.00349475 
7 | -0.00461362 -0.00409626 0.164031 -0.0379991 -0.0983198 -0.00449739 -0.00597827 -0.00829779 -0.000226835 
8 | -0.00347596 -0.00332779 0.21676 -0.0983756 -0.0948036 -0.00617938 -0.0021967 -0.00613284 -0.0022785 
9 | -0.00614375 -0.00641822 0.0995849 -0.0404808 -0.0226324 -0.00283357 -0.0103346 -0.0101356 -0.000607143 
10 | -0.00496708 -0.00574506 0.15416 -0.101689 -0.0205958 -0.0032658 -0.00977595 -0.00782181 -0.000309013 
11 | -0.00343399 -0.00341795 0.216382 -0.0981182 -0.0944962 -0.00567072 -0.00502445 -0.00597852 -0.000239976 
12 | -0.00461521 -0.00402804 0.164044 -0.0381073 -0.0985322 -0.00488078 -0.00338778 -0.0084357 -0.00207932 
13 | -0.00435389 -0.00462313 0.163983 -0.100561 -0.0352713 -0.00438078 -0.00696905 -0.00721754 -0.000609209 
14 | -0.00434969 -0.00464679 0.163998 -0.100564 -0.0351972 -0.00430979 -0.00746136 -0.0071941 -0.000282963 
15 | -0.00460016 -0.00408757 0.164113 -0.0380745 -0.0984069 -0.00455678 -0.0057008 -0.00830331 -0.000409777 
16 | -0.00496601 -0.00568844 0.154033 -0.10157 -0.0206365 -0.00346896 -0.00908416 -0.00785607 -0.000775666 
17 | -0.00552704 -0.00532262 0.110249 -0.0397388 -0.0379883 -0.0035596 -0.00810518 -0.00951374 -0.000499964 
18 | -0.00498153 -0.0057518 0.154005 -0.101744 -0.0210156 -0.00401311 -0.00362295 -0.00817577 -0.00471957 
19 | -0.00615038 -0.00645816 0.0995651 -0.0404924 -0.0225008 -0.00269391 -0.010871 -0.0101305 -0.000267488 
20 | -0.0055347 -0.00533561 0.110246 -0.0397082 -0.0379908 -0.00343995 -0.00846101 -0.00952062 -0.000255679 
21 | -0.00570402 -0.00781742 0.148408 -0.102496 -0.00792958 -0.00178806 -0.0139887 -0.00833762 -0.00034561 
22 | -0.00693718 -0.00879953 0.0929568 -0.0412495 -0.00959672 -0.00213007 -0.0062983 -0.0111186 -0.00685875 
23 | -0.00692119 -0.00869557 0.0934005 -0.0411856 -0.00897111 -0.00167623 -0.01389 -0.0106607 -0.00142471 
24 | -0.0069207 -0.00868163 0.0934051 -0.0411459 -0.00883761 -0.00154104 -0.0153466 -0.010638 -0.000301225 
25 | -0.00669215 -0.00613545 0.24699 -0.10426 -0.105848 -0.00295425 -0.00592136 -0.0116107 -0.00357906 
26 | -0.00668072 -0.00621297 0.246962 -0.104218 -0.105683 -0.00270658 -0.00934499 -0.0115534 -0.000558077 
27 | -0.00667592 -0.00623201 0.246955 -0.104232 -0.105592 -0.00264549 -0.00969098 -0.0115651 -0.0003145 
28 | -0.00789011 -0.00671817 0.190574 -0.0421311 -0.106969 -0.00233503 -0.0100167 -0.0141253 -0.000410246 
29 | -0.00789323 -0.00667502 0.19069 -0.0421832 -0.107298 -0.00253054 -0.0072891 -0.0141829 -0.00265412 
30 | -0.00788298 -0.00672583 0.190477 -0.0421394 -0.10681 -0.00230764 -0.010268 -0.0141104 -0.000240344 
31 | -0.00748217 -0.00754122 0.190298 -0.105069 -0.0430189 -0.00243298 -0.00718542 -0.0124123 -0.00516381 
32 | -0.00747075 -0.00756635 0.190195 -0.104951 -0.0428035 -0.00220121 -0.012226 -0.0123201 -0.000659957 
33 | -0.00746802 -0.00759133 0.190157 -0.10493 -0.0427034 -0.00215043 -0.0126982 -0.0123149 -0.000316139 
34 | -0.00867429 -0.00811796 0.133641 -0.0427758 -0.0438277 -0.00184801 -0.0133161 -0.0148468 -0.000243008 
35 | -0.0086838 -0.00811084 0.133593 -0.0427184 -0.043886 -0.00190482 -0.0129417 -0.0148705 -0.000514028 
36 | -0.00867067 -0.00807546 0.13353 -0.0428585 -0.0441376 -0.00209643 -0.0088883 -0.0149351 -0.00390648 
37 | -0.00802724 -0.00885867 0.178472 -0.105433 -0.0263492 -0.00206685 -0.00797989 -0.0128373 -0.00693033 
