The average error:	 0.0470085%	 
The max error:	 0.170301%	 
The min error:	 0.0140891%	 
The standard error:	 0.0264221%	 
Two sigma region:{-0.00583569%, 0.0998526%}	 

every case's error:	 
1 :	 |	 0.0497978%	 
2 :	 |	 0.0287407%	 
3 :	 |	 0.0180123%	 
4 :	 |	 0.0708717%	 
5 :	 |	 0.0763278%	 
6 :	 |	 0.0409887%	 
7 :	 |	 0.0416921%	 
8 :	 |	 0.0504578%	 
9 :	 |	 0.057053%	 
10 :	 |	 0.0466102%	 
11 :	 |	 0.0553413%	 
12 :	 |	 0.0537807%	 
13 :	 |	 0.0268437%	 
14 :	 |	 0.0421681%	 
15 :	 |	 0.0345791%	 
16 :	 |	 0.0514823%	 
17 :	 |	 0.0496743%	 
18 :	 |	 0.0517808%	 
19 :	 |	 0.0738303%	 
20 :	 |	 0.0531768%	 
21 :	 |	 0.0630527%	 
22 :	 |	 0.0362848%	 
23 :	 |	 0.0831792%	 
24 :	 |	 0.09456%	 
25 :	 |	 0.0142169%	 
26 :	 |	 0.0145807%	 
27 :	 |	 0.0369283%	 
28 :	 |	 0.0423869%	 
29 :	 |	 0.0407057%	 
30 :	 |	 0.0508597%	 
31 :	 |	 0.018715%	 
32 :	 |	 0.016285%	 
33 :	 |	 0.0178001%	 
34 :	 |	 0.0423726%	 
35 :	 |	 0.0408191%	 
36 :	 |	 0.0431938%	 
37 :	 |	 0.0245241%	 
38 :	 |	 0.0344809%	 
39 :	 |	 0.0153262%	 
40 :	 |	 0.0607358%	 
41 :	 |	 0.0483762%	 
42 :	 |	 0.0358697%	 
43 :	 |	 0.170301%	 
44 :	 |	 0.0669452%	 
45 :	 |	 0.0140891%	 
46 :	 |	 0.0200518%	 
47 :	 |	 0.0691429%	 
48 :	 |	 0.067413%	 
