index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.157636	 0	 -0.00299303	 0	 -0.00981141	 
2	 |	 -0.167388	 0	 -0.00461143	 0	 -0.00723151	 
3	 |	 -0.168531	 0	 -0.0116869	 0	 0	 
4	 |	 -0.0942903	 0	 -0.0032486	 0	 -0.00947101	 
5	 |	 -0.103785	 0	 -0.00482533	 0	 -0.00714774	 
6	 |	 -0.106262	 0	 -0.0118845	 0	 0	 
7	 |	 -0.0861442	 0	 -0.00331178	 0	 -0.00936607	 
8	 |	 -0.0952824	 0	 -0.00487621	 0	 -0.0070923	 
9	 |	 -0.0980375	 0	 -0.0119515	 0	 0	 
10	 |	 -0.0480871	 0	 -0.00389727	 0	 -0.00869093	 
11	 |	 -0.0560599	 0	 -0.00541909	 0	 -0.00684995	 
12	 |	 -0.0584835	 0	 -0.0125216	 0	 0	 
13	 |	 -0.0339478	 0	 -0.0044369	 0	 -0.00811431	 
14	 |	 -0.0414739	 0	 -0.00590592	 0	 -0.00656951	 
15	 |	 -0.0431245	 0	 -0.0130635	 0	 0	 
16	 |	 -0.0265009	 0	 -0.00494069	 0	 -0.00753867	 
17	 |	 -0.0327556	 0	 -0.00641034	 0	 -0.00638133	 
18	 |	 -0.0350388	 0	 -0.0134935	 0	 0	 
19	 |	 -0.0217757	 0	 -0.00541119	 0	 -0.00705843	 
20	 |	 -0.0273434	 0	 -0.00687936	 0	 -0.00617931	 
21	 |	 -0.0299551	 0	 -0.0139603	 0	 0	 
22	 |	 -0.015975	 0	 -0.00627882	 0	 -0.00637118	 
23	 |	 -0.0209363	 0	 -0.0078197	 0	 -0.00573308	 
24	 |	 -0.0229951	 0	 -0.014859	 0	 0	 
25	 |	 -0.011524	 0	 -0.00748913	 0	 -0.00538025	 
26	 |	 -0.0152285	 0	 -0.00913948	 0	 -0.00514172	 
27	 |	 -0.0172096	 0	 -0.0159961	 0	 0	 
28	 |	 -0.0082832	 0	 -0.00888702	 0	 -0.00449738	 
29	 |	 -0.0110617	 0	 -0.0107265	 0	 -0.0045988	 
30	 |	 -0.0125768	 0	 -0.0174371	 0	 0	 
31	 |	 -0.00638609	 0	 -0.0101216	 0	 -0.00383027	 
32	 |	 -0.00861768	 0	 -0.0121093	 0	 -0.00405048	 
33	 |	 -0.0096878	 0	 -0.0185837	 0	 0	 
34	 |	 0	 0	 -0.0194573	 0	 0	 
35	 |	 0	 0	 -0.0231735	 0	 0	 
