index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.183176	 -0.0044217	 -0.0043972	 4.9e-07	 -0.00704996	 
2	 |	 -0.191816	 -0.00664557	 -0.00696911	 -2.155e-05	 -0.00257647	 
3	 |	 -0.192169	 -0.00787622	 -0.00827713	 -2.81e-05	 0	 
4	 |	 -0.108698	 -0.00495778	 -0.0048632	 -1.29e-06	 -0.00642902	 
5	 |	 -0.116412	 -0.00716266	 -0.00742891	 -3.008e-05	 -0.00238149	 
6	 |	 -0.11717	 -0.00820356	 -0.00865733	 -3.956e-05	 0	 
7	 |	 -0.0993244	 -0.00508188	 -0.00497914	 -1.67e-06	 -0.00632295	 
8	 |	 -0.106699	 -0.00727536	 -0.00752896	 -3.209e-05	 -0.00232564	 
9	 |	 -0.1067	 -0.00825918	 -0.008746	 -4.253e-05	 0	 
10	 |	 -0.0536439	 -0.00642176	 -0.00616776	 -9.07e-06	 -0.00524173	 
11	 |	 -0.0600536	 -0.00855691	 -0.00863734	 -5.369e-05	 -0.00204452	 
12	 |	 -0.0607459	 -0.00948014	 -0.00973135	 -7.194e-05	 0	 
13	 |	 -0.0363079	 -0.00772525	 -0.00729171	 -2.864e-05	 -0.00443902	 
14	 |	 -0.0415112	 -0.00986379	 -0.00984131	 -8.672e-05	 -0.00167561	 
15	 |	 -0.0419242	 -0.0107589	 -0.010827	 -0.00010511	 0	 
16	 |	 -0.0268885	 -0.00899835	 -0.00845349	 -9.197e-05	 -0.00368286	 
17	 |	 -0.031024	 -0.011222	 -0.0109341	 -0.00016082	 -0.00143328	 
18	 |	 -0.031475	 -0.0120022	 -0.0118809	 -0.00018537	 0	 
19	 |	 -0.0206557	 -0.0102157	 -0.00946383	 -0.00022965	 -0.00316854	 
20	 |	 -0.0242893	 -0.0124437	 -0.012078	 -0.00031133	 -0.00124031	 
21	 |	 -0.0248648	 -0.0130067	 -0.012806	 -0.00034148	 0	 
22	 |	 -0.0131843	 -0.0122173	 -0.0112726	 -0.00085357	 -0.00222602	 
23	 |	 -0.0158468	 -0.0146014	 -0.0139822	 -0.00097166	 -0.00082043	 
24	 |	 -0.0162071	 -0.0150262	 -0.0146047	 -0.00100998	 0	 
