index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
1	 |	 -0.001721	 -0.192719	 -0.00390568	 0	 -0.0070801	 -0.00383135	 -0.165371	 0	 -0.00068899	 
2	 |	 -0.00228203	 -0.19296	 -0.00549564	 0	 -0.0104311	 -0.00536633	 -0.168049	 0	 -0.00665807	 
3	 |	 -0.00213071	 -0.11735	 -0.00408926	 0	 -0.00753301	 -0.00403825	 -0.101939	 0	 -0.00065133	 
4	 |	 -0.0026651	 -0.117595	 -0.00558487	 0	 -0.0106931	 -0.0055367	 -0.102898	 0	 -0.00660568	 
5	 |	 -0.00223101	 -0.107704	 -0.00413228	 0	 -0.00764507	 -0.00403429	 -0.0935409	 0	 -0.00068647	 
6	 |	 -0.00291695	 -0.108182	 -0.00552695	 0	 -0.0107841	 -0.00544613	 -0.096174	 0	 -0.00659716	 
7	 |	 -0.00321756	 -0.0606713	 -0.00450368	 0	 -0.00877765	 -0.00449382	 -0.0541861	 0	 -0.0006418	 
8	 |	 -0.00402986	 -0.0617694	 -0.00573743	 0	 -0.0117176	 -0.00584533	 -0.0560832	 0	 -0.00651855	 
9	 |	 -0.00496301	 -0.0319045	 -0.00484498	 0	 -0.011123	 -0.00490135	 -0.0305019	 0	 -0.00067928	 
10	 |	 -0.00596904	 -0.0330376	 -0.00594863	 0	 -0.0136431	 -0.00609846	 -0.0322542	 0	 -0.0064374	 
11	 |	 -0.00628307	 -0.0203959	 -0.00479283	 0	 -0.0132557	 -0.00487948	 -0.0212268	 0	 -0.00095832	 
12	 |	 -0.00740049	 -0.0211378	 -0.00581662	 0	 -0.0155526	 -0.00593808	 -0.0227495	 0	 -0.00656887	 
13	 |	 -0.0078989	 -0.010041	 -0.00424253	 0	 -0.0167667	 -0.00433684	 -0.0128412	 0	 -0.00198299	 
14	 |	 -0.0091226	 -0.0106855	 -0.00502181	 0	 -0.0188427	 -0.00525921	 -0.0139655	 0	 -0.00743159	 
15	 |	 -0.00955637	 0	 0	 0	 -0.026512	 0	 0	 0	 -0.0165176	 
16	 |	 -0.0108282	 0	 0	 0	 -0.0279951	 0	 0	 0	 -0.0176797	 
17	 |	 -0.00166234	 -0.196927	 -0.00359952	 0	 -0.00623196	 -0.00488564	 -0.166174	 0	 -0.00060497	 
18	 |	 -0.00208237	 -0.196891	 -0.004809	 0	 -0.00852361	 -0.00691719	 -0.1656	 0	 -0.00599662	 
19	 |	 -0.00206515	 -0.121035	 -0.00380954	 0	 -0.00674307	 -0.00501688	 -0.101609	 0	 -0.00056937	 
