index | botleft botright c1 c2 c2e c3
1 | -0.00740185 -0.0061046 0.150913 -0.0989038 -0.0106289 -0.0278822 
2 | -0.00616969 -0.00587308 0.161145 -0.0374413 -0.00747874 -0.104223 
3 | -0.00936659 -0.00875004 0.0824763 -0.0256766 -0.00768157 -0.0310032 
4 | -0.0110536 -0.00848821 0.0864769 -0.0408869 -0.00950194 -0.0165212 
5 | -0.00823219 -0.00805112 0.0946032 -0.0250365 -0.00726503 -0.0460219 
6 | -0.00935859 -0.0107072 0.086262 -0.0129635 -0.00543739 -0.0477945 
7 | -0.0131458 -0.012548 0.0643175 -0.0140396 -0.00612477 -0.0184623 
8 | -0.00983127 -0.00705476 0.143035 -0.0994168 -0.0115257 -0.0152334 
9 | -0.00701792 -0.00714334 0.150274 -0.0236448 -0.00658939 -0.105879 
10 | -0.0074254 -0.00681116 0.106329 -0.0391859 -0.00827434 -0.044659 
11 | -0.00902669 -0.00803442 0.18447 -0.110077 -0.00630941 -0.0510043 
12 | -0.0132902 -0.00954304 0.161363 -0.11129 -0.00726942 -0.0199609 
13 | -0.00815317 -0.0096944 0.141943 -0.0119519 -0.00504889 -0.107098 
14 | -0.00856734 -0.00748871 0.0946909 -0.040109 -0.00880026 -0.029755 
15 | -0.00493909 -0.00443494 0.214594 -0.0957404 -0.00846264 -0.101019 
16 | -0.0104714 -0.0115363 0.0733918 -0.0133577 -0.00567631 -0.0323524 
17 | -0.011914 -0.00972961 0.0737206 -0.0265541 -0.00821399 -0.0172819 
18 | -0.00763444 -0.00720071 0.242708 -0.109006 -0.00577214 -0.11309 
19 | -0.00627444 -0.00541899 0.161654 -0.097946 -0.00981342 -0.0422171 
20 | -0.0103142 -0.00864391 0.171201 -0.110481 -0.00668761 -0.035075 
21 | -0.00857078 -0.00862949 0.18439 -0.047289 -0.00536875 -0.114544 
22 | -0.00994278 -0.00944686 0.126038 -0.0483958 -0.00573888 -0.0525205 
23 | -0.0112319 -0.0100484 0.112618 -0.0490945 -0.00602551 -0.036213 
24 | -0.00923164 -0.0100133 0.171345 -0.0315877 -0.00493432 -0.115597 
25 | -0.0141937 -0.010947 0.102609 -0.0501238 -0.00643617 -0.0209095 
26 | -0.0106038 -0.0108347 0.112567 -0.0324644 -0.00521387 -0.0534306 
27 | -0.0119085 -0.0114402 0.0984925 -0.0327901 -0.00546209 -0.0368615 
28 | -0.014889 -0.0123611 0.0884279 -0.0339146 -0.00578463 -0.0214738 
29 | -0.010234 -0.0130608 0.160942 -0.0171299 -0.00400853 -0.116509 
30 | -0.0115238 -0.0139175 0.102375 -0.0178214 -0.00423443 -0.0548948 
31 | -0.015888 -0.0155206 0.0774208 -0.0188575 -0.00471216 -0.0224599 
32 | -0.0128625 -0.0145587 0.0877433 -0.0181732 -0.00425638 -0.037895 
