index | botleft botright c1 c2 c2e c3 topleft topright
1 | -0.00572401 -0.00538671 0.109693 -0.0361012 -0.0047045 -0.0390308 -0.0097559 -0.00895019 
2 | -0.00677206 -0.00591292 0.099673 -0.0370816 -0.00481747 -0.0235985 -0.0119588 -0.00952408 
3 | -0.00889038 -0.00658014 0.0929676 -0.0370278 -0.00503196 -0.00930156 -0.0161245 -0.00998547 
4 | -0.0103789 -0.010123 0.0756213 -0.00868844 -0.00186162 -0.0099357 -0.0174658 -0.0171195 
5 | -0.00581265 -0.00467409 0.153751 -0.0964925 -0.00680827 -0.0222744 -0.0106977 -0.00699113 
6 | -0.0112319 -0.00782964 0.171546 -0.106199 -0.00297082 -0.0108804 -0.0210766 -0.0113392 
7 | -0.00638597 -0.00646296 0.0995582 -0.0213607 -0.00346641 -0.040124 -0.0103755 -0.0113496 
8 | -0.00618032 -0.00591856 0.246803 -0.104953 -0.00256483 -0.106745 -0.0104297 -0.00998653 
9 | -0.00953971 -0.00782334 0.0822935 -0.0222276 -0.00367903 -0.00960035 -0.0168872 -0.012507 
10 | -0.00526992 -0.00563872 0.153462 -0.0203311 -0.00321738 -0.100646 -0.00814371 -0.010212 
11 | -0.00717842 -0.00866846 0.093318 -0.00828878 -0.00176723 -0.0406675 -0.0109038 -0.015859 
12 | -0.00479366 -0.00410755 0.1637 -0.0959447 -0.00633837 -0.0376459 -0.00847485 -0.00638725 
13 | -0.00603147 -0.00772876 0.147435 -0.00773879 -0.0016445 -0.101093 -0.00865904 -0.0145306 
14 | -0.00779321 -0.00533222 0.148044 -0.0967687 -0.00714808 -0.00879373 -0.0147376 -0.00745048 
15 | -0.00747741 -0.00663436 0.190242 -0.105692 -0.00276711 -0.0436936 -0.0133286 -0.010668 
16 | -0.00742804 -0.00708168 0.0881376 -0.0215423 -0.00358266 -0.0238536 -0.0126232 -0.011981 
17 | -0.00871784 -0.00716098 0.178301 -0.105755 -0.00281944 -0.0266753 -0.0160757 -0.0110451 
18 | -0.00463259 -0.00454687 0.163801 -0.0350661 -0.00419093 -0.100016 -0.0074805 -0.00783468 
19 | -0.00367218 -0.00332365 0.21482 -0.0936376 -0.00559435 -0.0970101 -0.00621573 -0.00532436 
20 | -0.00818787 -0.00937972 0.0821425 -0.00849115 -0.00178011 -0.0245994 -0.0131477 -0.0165445 
21 | -0.00693324 -0.00726933 0.190102 -0.0423793 -0.00202476 -0.107358 -0.0111692 -0.0129616 
22 | -0.00828681 -0.00800403 0.132893 -0.0425171 -0.00211507 -0.0441808 -0.0141281 -0.0136634 
23 | -0.00952164 -0.00853135 0.121753 -0.043365 -0.00220319 -0.0272346 -0.0168384 -0.0140389 
24 | -0.0120235 -0.00918322 0.114859 -0.0438685 -0.00229436 -0.0113312 -0.0218297 -0.0143357 
25 | -0.00746774 -0.00858173 0.178502 -0.0255798 -0.00166583 -0.10786 -0.0115587 -0.0157928 
26 | -0.00879484 -0.00929798 0.12168 -0.0262517 -0.0016554 -0.0447817 -0.0144155 -0.016484 
27 | -0.0100649 -0.00982683 0.109847 -0.0265658 -0.0017003 -0.0277137 -0.0171787 -0.0168218 
28 | -0.0126145 -0.0105429 0.102336 -0.0266682 -0.00175618 -0.0112809 -0.0222367 -0.0172588 
29 | -0.00816873 -0.0111505 0.171427 -0.0103575 -0.00087502 -0.108085 -0.0118959 -0.0209205 
30 | -0.0094412 -0.0119425 0.113649 -0.0104992 -0.000891578 -0.0445845 -0.014841 -0.0215333 
31 | -0.010775 -0.012512 0.102304 -0.0106495 -0.000933791 -0.0278299 -0.0175462 -0.0220945 
32 | -0.0133458 -0.0131828 0.0949902 -0.0108172 -0.00101928 -0.011578 -0.0226403 -0.0223922 
