index | botleft botright c1 c1Env c2 c2Env d1 d2 d2Env
1 | -0.00305874 -0.00345852 0.170076 -0.0955465 -0.0344842 -0.00452865 -0.0269044 -0.00124592 -0.000838277 
2 | -0.00354169 -0.00424939 0.160383 -0.0963683 -0.0206787 -0.003578 -0.0293078 -0.00161456 -0.00105455 
3 | -0.00323993 -0.00310719 0.166109 -0.0337382 -0.0985948 -0.0053115 -0.019816 -0.0014412 -0.000873038 
4 | -0.00394393 -0.00397883 0.112224 -0.0351967 -0.0385136 -0.00328161 -0.0221043 -0.00381213 -0.00137344 
5 | -0.00482774 -0.00578186 0.107287 -0.0356144 -0.00590185 -0.0015875 -0.0171755 -0.0287904 -0.00760017 
6 | -0.00324575 -0.00295342 0.169052 -0.0334253 -0.0942009 -0.00355857 -0.0162872 -0.0146422 -0.000755519 
7 | -0.00349254 -0.00404705 0.166535 -0.0959489 -0.015349 -0.00288142 -0.0208647 -0.0186099 -0.00536324 
8 | -0.0023827 -0.00255686 0.220932 -0.0936168 -0.0929006 -0.00546356 -0.0224764 -0.000920871 -0.000593176 
9 | -0.00434622 -0.00460596 0.110849 -0.035215 -0.0174162 -0.00248073 -0.0171492 -0.0268283 -0.00282718 
10 | -0.00355625 -0.004199 0.160703 -0.0964005 -0.0199489 -0.00286015 -0.0288581 -0.00372536 -0.00115141 
11 | -0.00307381 -0.00342197 0.170057 -0.095445 -0.0342893 -0.00392135 -0.0266401 -0.00221319 -0.00104355 
12 | -0.00393812 -0.00519028 0.163548 -0.0964871 -0.00573222 -0.00183019 -0.0210883 -0.0197256 -0.00955923 
13 | -0.002439 -0.0024043 0.222686 -0.0937742 -0.090938 -0.0042552 -0.0190207 -0.00900411 -0.000845496 
14 | -0.00308285 -0.0033153 0.173821 -0.0953057 -0.029959 -0.00344476 -0.0205658 -0.0159721 -0.00218277 
15 | -0.00445744 -0.00479524 0.101248 -0.0359559 -0.0228496 -0.00249627 -0.0234875 -0.00573318 -0.00145786 
16 | -0.00445803 -0.004837 0.100848 -0.0361143 -0.0244567 -0.00327303 -0.0239512 -0.00238134 -0.00141413 
17 | -0.00324439 -0.00307621 0.166327 -0.033686 -0.0985424 -0.00452401 -0.0196771 -0.0024548 -0.00110654 
18 | -0.00393804 -0.00400664 0.111977 -0.0352544 -0.0391291 -0.00424606 -0.0223837 -0.00186899 -0.00116398 
19 | -0.00390836 -0.00386199 0.118768 -0.0346221 -0.0324286 -0.00301112 -0.0169983 -0.0227805 -0.00117693 
20 | -0.00413582 -0.00556179 0.155614 -0.0971488 -0.00593187 -0.00178428 -0.030252 -0.00918471 -0.00162632 
21 | -0.00239009 -0.00251781 0.221345 -0.0936905 -0.0930012 -0.00523863 -0.0223753 -0.0013 -0.000810434 
22 | -0.00510492 -0.00629678 0.0952308 -0.0366871 -0.00705677 -0.00186079 -0.0244758 -0.0121737 -0.00161692 
23 | -0.00424501 -0.00583303 0.154381 -0.0973058 -0.00882211 -0.0017977 -0.0318801 -0.00316462 -0.00134452 
24 | -0.00523796 -0.00661901 0.0932821 -0.0369444 -0.0106833 -0.00165758 -0.0259308 -0.00449372 -0.00175492 
25 | -0.00484206 -0.00458739 0.266192 -0.102887 -0.0985032 -0.00246678 -0.0415743 -0.0106318 -0.000707906 
26 | -0.00560079 -0.00495831 0.20894 -0.0381596 -0.100341 -0.00215633 -0.0400197 -0.0171346 -0.000580279 
27 | -0.00481079 -0.00468338 0.264694 -0.102816 -0.102131 -0.00236665 -0.0452565 -0.0017603 -0.000869374 
28 | -0.00561003 -0.00505063 0.205693 -0.038387 -0.106867 -0.00220055 -0.0436193 -0.00296846 -0.00100806 
29 | -0.0056093 -0.00506429 0.20551 -0.0384039 -0.107258 -0.00281884 -0.0438473 -0.00172795 -0.000790236 
30 | -0.00480367 -0.00468388 0.264602 -0.102849 -0.102204 -0.00275609 -0.0453684 -0.00129097 -0.000646824 
31 | -0.00543634 -0.00557359 0.214796 -0.103559 -0.0349725 -0.00217583 -0.0429507 -0.0195531 -0.000593973 
32 | -0.00621121 -0.00594329 0.156598 -0.0387095 -0.0361098 -0.00192667 -0.0405583 -0.0266625 -0.000509665 
33 | -0.00543687 -0.00565479 0.210486 -0.10347 -0.0407568 -0.00191334 -0.0495204 -0.00277432 -0.000981661 
34 | -0.00625001 -0.00603888 0.14881 -0.039066 -0.0441607 -0.00177677 -0.0459523 -0.00443182 -0.00116705 
35 | -0.00543334 -0.00566136 0.210373 -0.103407 -0.0413321 -0.0023179 -0.0497841 -0.00163037 -0.000789846 
36 | -0.00624199 -0.00602506 0.148542 -0.0389827 -0.0454815 -0.00222583 -0.0463712 -0.00224099 -0.000996544 
37 | -0.00583305 -0.0063849 0.206561 -0.103854 -0.0188572 -0.0018882 -0.0432349 -0.0256208 -0.000927224 
38 | -0.00661322 -0.00675195 0.148088 -0.0389247 -0.0197771 -0.00168394 -0.0407368 -0.0330141 -0.000633368 
39 | -0.00590441 -0.00652961 0.199639 -0.103843 -0.0244677 -0.00160629 -0.0517563 -0.00457159 -0.000976911 
40 | -0.00672354 -0.0069378 0.136512 -0.0394894 -0.0268861 -0.00152362 -0.0471645 -0.00654465 -0.00126791 
41 | -0.00589794 -0.0065751 0.199289 -0.103704 -0.0260565 -0.00173155 -0.052311 -0.00203543 -0.000957309 
42 | -0.00674458 -0.00698277 0.135968 -0.039447 -0.0292676 -0.00167756 -0.0477668 -0.00285809 -0.00119544 
43 | -0.00625573 -0.00764815 0.202776 -0.103849 -0.00684275 -0.0012461 -0.0433624 -0.0292739 -0.00431668 
44 | -0.00705844 -0.00805831 0.144263 -0.0391234 -0.00695559 -0.00108183 -0.0408361 -0.0379853 -0.00318655 
45 | -0.0064789 -0.00815318 0.193533 -0.104256 -0.00777317 -0.00134983 -0.0532266 -0.0115394 -0.00076192 
46 | -0.00735933 -0.00868384 0.12939 -0.0396582 -0.00855183 -0.00134546 -0.048258 -0.0145181 -0.00102626 
47 | -0.00749341 -0.0090072 0.126932 -0.0398695 -0.0130188 -0.00111944 -0.0496321 -0.00538587 -0.00145272 
48 | -0.00658417 -0.00842382 0.191666 -0.104078 -0.0114328 -0.00107803 -0.0548343 -0.00400528 -0.00118004 
